Hallesches Tor,25,u6,52.497772,13.391587
Mehringdamm,27,u6,52.494612,13.389065
Platz der Luftbruecke,29,u6,52.484917,13.385930
Paradestrasse,30,u6,52.478222,13.385814
Tempelhof,32,u6,52.470921,13.385653
Alt-Tempelhof,33,u6,52.465956,13.385624
Kaiserin-Augusta-Strasse,34,u6,52.460368,13.384720
Ullsteinstrasse,35,u6,52.452807,13.384138
Westphalweg,37,u6,52.445670,13.385762
Alt-Mariendorf,38,u6,52.439140,13.387684
Rudow,0,u7,52.416379,13.495315
Zwickauer Damm,2,u7,52.423227,13.483788
Wutzkyallee,3,u7,52.423304,13.474045
Lipschitzallee,4,u7,52.424666,13.462460
Johannisthaler Chaussee,6,u7,52.429350,13.453275
Britz-Sued,8,u7,52.437277,13.448297
Parchimer Allee,9,u7,52.444760,13.449756
Blaschkoallee,10,u7,52.452711,13.449069
Grenzallee,12,u7,52.463825,13.444734
Neukoelln,14,u7,52.469446,13.442374
Karl-Marx-Strasse,15,u7,52.476530,13.439284
Rathaus Neukoelln,16,u7,52.481653,13.434177
Hermannplatz,18,u7,52.486697,13.424264
Suedstern,20,u7,52.489362,13.407827
Gneisenaustrasse,21,u7,52.491217,13.395639
Mehringdamm,23,u7,52.494612,13.389065
Moeckernbruecke,25,u7,52.499187,13.382658
Yorckstrasse,26,u7,52.492786,13.370320
Kleistpark,28,u7,52.490434,13.360214
Eisenacher Strasse,29,u7,52.489519,13.350343
Bayerischer Platz,30,u7,52.488551,13.340165
Berliner Strasse,32,u7,52.487181,13.331098
Blissestrasse,33,u7,52.486031,13.320302
Fehrbelliner Platz,34,u7,52.490435,13.314199
Konstanzer Strasse,36,u7,52.493988,13.309895
Adenauerplatz,37,u7,52.499984,13.307148
Wilmersdorfer Strasse,38,u7,52.505770,13.307020
Bismarckstrasse,40,u7,52.511608,13.305110
Richard-Wagner-Platz,41,u7,52.517289,13.306290
Mierendorffplatz,43,u7,52.525840,13.305346
Jungfernheide Bhf,44,u7,52.530684,13.300647
Jakob-Kaiser-Platz,45,u7,52.536427,13.293995
Halemweg,47,u7,52.536635,13.286399
Siemensdamm,48,u7,52.537258,13.273696
Rohrdamm,49,u7,52.537820,13.261422
Paulsternstrasse,51,u7,52.538446,13.248933
Haselhorst,53,u7,52.538733,13.233870
Zitadelle,54,u7,52.537519,13.218142
Altstadt Spandau,56,u7,52.539359,13.206104
Rathaus Spandau,57,u7,52.534661,13.199581
Wittenau,0,u8,52.595685,13.334891
Rathaus Reinickendorf,1,u8,52.588446,13.324774
Karl-Bonhoeffer-Nervenklinik,3,u8,52.578941,13.333132
Lindauer Allee,5,u8,52.575525,13.339043
Paracelsus-Bad,6,u8,52.574664,13.347165
Residenzstrasse,7,u8,52.571269,13.360480
Franz-Neumann-Platz,9,u8,52.564096,13.364160
Osloer Strasse,11,u8,52.556818,13.373343
Pankstrasse,12,u8,52.552550,13.381776
Gesundbrunnen Bhf,14,u8,52.548798,13.388937
Voltastrasse,15,u8,52.542116,13.393059
Bernauer Strasse,17,u8,52.538093,13.396156
Rosenthaler Platz,18,u8,52.529734,13.401382
Weinmeisterstrasse,20,u8,52.525517,13.405048
Alexanderplatz,22,u8,52.521830,13.413636
Jannowitzbruecke,23,u8,52.514208,13.419580
Heinrich-Heine-Strasse,25,u8,52.510860,13.416170
Moritzplatz,26,u8,52.503645,13.410774
Kottbusser Tor,28,u8,52.498999,13.418334
Schoenleinstrasse,30,u8,52.493341,13.421686
Hermannplatz,32,u8,52.486697,13.424264
Boddinstrasse,33,u8,52.480667,13.424892
Leinestrasse,35,u8,52.473590,13.428038
Hermannstrasse,36,u8,52.468017,13.431012
Osloer Strasse,0,u9,52.556818,13.373343
Nauener Platz,1,u9,52.551622,13.367248
Leopoldplatz,2,u9,52.546715,13.358158
Amrumer Strasse,4,u9,52.542170,13.349569
Westhafen,5,u9,52.536312,13.342177
Birkenstrasse,6,u9,52.532309,13.341314
Turmstrasse,8,u9,52.525402,13.341440
Hansaplatz,9,u9,52.518312,13.341906
Zoologischer Garten,11,u9,52.507282,13.332448
Kurfuerstendamm,13,u9,52.503574,13.331180
Spichernstrasse,14,u9,52.496635,13.331068
Guentzelstrasse,15,u9,52.492010,13.330878
Berliner Strasse,16,u9,52.487181,13.331098
Bundesplatz,18,u9,52.477626,13.328525
Friedrich-Wilhelm-Platz,19,u9,52.471369,13.328355
Walther-Schreiber-Platz,20,u9,52.466209,13.328295
Schlossstrasse,22,u9,52.461190,13.324825
Rathaus Steglitz,23,u9,52.456891,13.320674
Berlin Hauptbahnhof,0,u55,52.525033,13.368676
Bundestag,1,u55,52.520114,13.372680
Brandenburger Tor,2,u55,52.516584,13.381566
